Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Player_1__c,Player_2__c,Player_1_Total_Points__c,Player_2_Total_Points__c,Number_of_Games__c,Winner__c,Predicted_Winner__c,Tournament__c,Match_Status__c,Match_Start__c,Match_End_Time__c,Tournament_2__c
a033i000000x8IeAAI,0053i000000U8dNAAS,,Match-0424,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:40.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjXDAA0,a023i000001BjfYAAS,23,27,3,Player 2,,,,,,
a033i000000x8IfAAI,0053i000000U8dNAAS,,Match-0425,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:40.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjX8AAK,a023i000001BjXDAA0,33,22,3,Player 1,,,,,,
a033i000000x8IgAAI,0053i000000U8dNAAS,,Match-0426,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:40.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjX8AAK,a023i000001BjfYAAS,27,20,3,Player 1,,,,,,
a033i000000x8IhAAI,0053i000000U8dNAAS,,Match-0427,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:40.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjfdAAC,a023i000001BjfYAAS,30,23,3,Player 1,,,,,,
a033i000000x8IiAAI,0053i000000U8dNAAS,,Match-0428,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:40.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjXDAA0,a023i000001BjfYAAS,29,21,3,Player 1,,,,,,
a033i000000x8IjAAI,0053i000000U8dNAAS,,Match-0429,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:40.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjX8AAK,a023i000001BjXDAA0,27,24,3,Player 1,,,,,,
a033i000000x8IkAAI,0053i000000U8dNAAS,,Match-0430,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:40.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjfdAAC,a023i000001BjfYAAS,20,32,3,Player 2,,,,,,
a033i000000x8IlAAI,0053i000000U8dNAAS,,Match-0431,2019-07-02T23:42:59.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjXDAA0,a023i000001BjfYAAS,25,32,3,Player 2,,,,,,
a033i000000x8ImAAI,0053i000000U8dNAAS,,Match-0432,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjX8AAK,a023i000001BjXDAA0,27,28,3,Player 2,,,,,,
a033i000000x8InAAI,0053i000000U8dNAAS,,Match-0433,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjX8AAK,a023i000001BjfYAAS,18,28,3,Player 2,,,,,,
a033i000000x8IoAAI,0053i000000U8dNAAS,,Match-0434,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjfdAAC,a023i000001BjfYAAS,20,33,3,Player 2,,,,,,
a033i000000x8IpAAI,0053i000000U8dNAAS,,Match-0435,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjXDAA0,a023i000001BjfYAAS,16,33,3,Player 2,,,,,,
a033i000000x8IqAAI,0053i000000U8dNAAS,,Match-0436,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjX8AAK,a023i000001BjXDAA0,17,33,3,Player 2,,,,,,
a033i000000x8IwAAI,0053i000000U8dNAAS,,Match-0442,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjfYAAS,a023i000001BjX8AAK,20,28,3,Player 2,,,,,,
a033i000000x8IxAAI,0053i000000U8dNAAS,,Match-0443,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:41.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjfYAAS,a023i000001BjX8AAK,18,33,3,Player 2,,,,,,
a033i000000x8IyAAI,0053i000000U8dNAAS,,Match-0444,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:42.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjX8AAK,a023i000001BjfYAAS,18,33,3,Player 2,,,,,,
a033i000000x8IzAAI,0053i000000U8dNAAS,,Match-0445,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:42.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjfdAAC,a023i000001BjfYAAS,23,26,3,Player 2,,,,,,
a033i000000x8J0AAI,0053i000000U8dNAAS,,Match-0446,2019-07-02T23:43:00.000+0000,0053i000000U8dNAAS,2019-07-02T23:53:42.000+0000,0053i000000U8dNAAS,2019-07-17T19:30:39.000+0000,,,,a023i000001BjXDAA0,a023i000001BjfYAAS,25,32,3,Player 2,,,,,,
